Ensembl Gene ID,EC Number,Gene Symbol and Synonyms,MitoCarta2.0_Score,MitoCarta3.0 Class,TrSSP prediction
ENSG00000155980,-,NEIMY; SPG10; ALS25; D12S1889; MY050; KIF5A; NKHC,-4.7411,0,0
ENSG00000155984,-,-,0,-1,-1
ENSG00000156006,EC 2.3.1.5,NAT2; AAC2; NAT-2; PNAT,1.3533,0,0
ENSG00000156009,-,MAGE8; MAGEA8; CT1.8,-10.6961,0,0
ENSG00000156011,-,EFA6D; PSD3; EFA6R; HCA67,-3.2256,0,0
ENSG00000156017,EC 2.1.1.22,C9orf41; UPF0586; CARNMT1,-0.9827,0,0
ENSG00000156026,-,C10orf42; HsMCU; CCDC109A; MCU,12.1476,1,0
ENSG00000156030,-,ELMSAN1; LSR68; c14_5541; C14orf117; C14orf43; MIDEAS,17.5759,0,0
ENSG00000156042,-,CFAP70; TTC18; SPGF41,-2.6591,0,0
ENSG00000156049,-,GNA14,-8.824,0,0
ENSG00000156050,-,c14_5547; C14orf44; FAM161B,-5.6238,0,0
ENSG00000156052,-,G-ALPHA-q; GAQ; GNAQ; SWS; CMC1,25.5981,0,0
ENSG00000156076,-,WIF-1; WIF1,-10.6961,0,0
ENSG00000156096,EC 2.4.1.17,UGT2B4; UDPGTH1; HLUG25; UDPGTh-1; UGT2B11; UDPGT2B4,-2.7697,0,0
ENSG00000156097,-,GPR61; GPCR3; BALGR,19.3217,0,0
ENSG00000156103,EC 3.4.24.-,MMP16; MMP-X2; MT-MMP2; MT3-MMP; C8orf57; MT-MMP3,-8.0704,0,0
ENSG00000156110,EC 2.7.1.20,AK; ADK,-7.1255,0,1
ENSG00000156113,-,mSLO1; SAKCA; CADEDS; IEG16; SLO; SLO1; KCNMA1; SLO-ALPHA; bA205K10.1; BKTM; KCa1.1; hSlo; LIWAS; MaxiK; PNKD3,4.4332,0,0
ENSG00000156127,-,B-ATF; SFA2; BATF; BATF1; SFA-2,-6.2297,0,0
ENSG00000156136,EC 2.7.1.113; EC 2.7.1.74; EC 2.7.1.76,DCK,-6.2297,0,0
ENSG00000156140,EC 3.4.24.-,ADAMTS3; ADAMTS-4; HKLLS3,13.9633,0,0
ENSG00000156150,-,FND; ALX3; FND1,-10.6961,0,0
ENSG00000156162,EC 2.4.1.-,DPY19L4,-8.0704,0,0
ENSG00000156170,-,C8orf38; NDUFAF6; MC1DN17; FRTS5,16.9393,1,0
ENSG00000156171,-,WWFQ154; PRO180; DRAM2; TMEM77; CORD21,-10.6961,0,1
ENSG00000156172,-,MOT25; smalltalk; FAP418; CORD16; C8orf37; BBS21; RP64,-8.2616,0,0
ENSG00000156194,EC 3.1.3.16,PPEF2; PPP7CB,-3.8147,0,0
ENSG00000156206,-,CFAP161; C15orf26,-5.6553,0,0
ENSG00000156218,-,ADAMTSL-3; ADAMTSL3,13.9633,0,0
ENSG00000156219,EC 2.4.2.31,ARTC3; ART3,0.9725,0,0
ENSG00000156222,-,SLC28A1; CNT1; HCNT1; URCTU,1.3533,0,1
ENSG00000156232,-,WHAMM1; WHAMM; WHDC1,-8.0704,0,0
ENSG00000156234,-,BCA-1; BLR1L; ANGIE; CXCL13; SCYB13; ANGIE2; BCA1; BLC,-0.8138,0,0
ENSG00000156239,EC 2.1.1.-,N6AMT1; HEMK2; KMT9; PRED28; PrmC; C21orf127; MTQ2; N6AMT; m.HsaHemK2P,13.9633,0,1
ENSG00000156253,-,C21orf6; GL011; RWDD2B,1.3533,0,0
ENSG00000156256,EC 3.4.19.12,USP16; UBPM; UBP-M,-3.8147,0,0
ENSG00000156261,-,Cctq; PRED71; D21S246; CCT8; C21orf112,1.3533,0,1
ENSG00000156265,-,MAP3K7CL; C21orf7; TAKL-2; TAKL-4; HC21ORF7; TAKL-1; TAK1L; TAKL,2.062,0,0
ENSG00000156269,EC 2.3.1.255,ARD1B; ARD2; hARD2; NAA11,-0.9827,0,0
ENSG00000156273,-,BACH-1; BTBD24; BACH1,-6.2297,0,0
ENSG00000156282,-,CLDN17,-10.6961,0,0
ENSG00000156284,-,CLDN8; HEL-S-79,-10.6961,0,1
ENSG00000156298,-,MXS1; CCG-B7; TSPAN7; TM4SF2; TM4SF2b; CD231; DXS1692E; TALLA-1; A15; MRX58,-3.8147,0,1
ENSG00000156299,-,TIAM1; TIAM-1,-3.8147,0,0
ENSG00000156304,-,SRA4; SCAF4; SFRS15,-6.2297,0,0
ENSG00000156313,-,orf15; CRD; CORDX1; COD1; RP3; PCDX; RP15; XLRP3; RPGR,19.3217,0,0
ENSG00000156345,EC 2.7.11.22,PNQALRE; CDCH; CDK20; P42; CCRK,-1.9426,0,0
ENSG00000156374,-,PCGF6; MBLR; RNF134,19.3217,0,0
ENSG00000156381,-,ANKRD9,-1.1574,0,0
ENSG00000156384,-,MEIR5; bA373N18.1; C10orf78; SFR1; MEI5,-10.0112,0,0
ENSG00000156395,-,SORCS3; SORCS,37.826,0,0
ENSG00000156398,-,SLC56A2; SFXN2,25.5447,1,0
ENSG00000156411,-,ATP5MJ; C14orf2; 6.8PL; MLQ; ATP5MPL; MP68; PLPM,14.159,1,0
ENSG00000156413,EC 2.4.1.152,FUT6; Fuc-TVI; FucT-VI; FCT3A; FT1A,-13.4554,0,0
ENSG00000156414,EC 3.6.4.13,C14orf75; NET54; TDRD9; HIG-1; HLS; SPGF30; SPNE,-4.3576,0,0
ENSG00000156427,-,FGF-18; FGF18; ZFGF5,-8.2811,0,0
ENSG00000156453,-,PCDH1; PC42; PCDH42,19.3217,0,0
ENSG00000156463,EC 2.3.2.27,POSHER; PPP1R39; HEPP1; SH3RF2; RNF158,-3.8147,0,0
ENSG00000156466,-,BMP-13; SYNS4; KFM; SGM1; KFS; KFS1; GDF6; CDMP2; KFSL; BMP13,-10.6961,0,0
ENSG00000156467,-,QP-C; UQBC; UQCRB; UQBP; UQCR6; QCR7; QPC; MC3DN3; UQPC,19.6799,1,0
ENSG00000156469,-,MTERF3; CGI-12; MTERFD1,7.1079,1,0
ENSG00000156471,EC 2.7.8.29,LMHD; PSSA; PSS1; PTDSS1,-10.0112,0,0
ENSG00000156475,-,PP2AB55BETA; PP2ABBETA; PR2APR55BETA; B55BETA; PR52B; PP2APR55B; PR2AB55BETA; SCA12; PPP2R2B; PR2ABBETA; PR55-BETA; PR55BETA; PP2APR55BETA,-0.8138,0,0
ENSG00000156482,-,RPL30; L30,-1.3714,0,0
ENSG00000156486,-,KCNS2; KV9.2,-10.6961,0,1
ENSG00000156500,-,PABIR3; FAM122C,-10.8297,0,0
ENSG00000156502,EC 3.6.4.13,SUV3; SUPV3L1,30.2238,1,0
ENSG00000156504,-,SPACIA2; FAM122B; PABIR2,-4.7007,0,0
ENSG00000156508,-,EE1A1; EEF1A; GRAF-1EF; LENG7; EEF-1; PTI1; eEF1A-1; CCS-3; EF-Tu; EF1A; EEF1A1; CCS3,37.826,0,1
ENSG00000156509,-,ERP1; EMI2; FBX43; FBXO43,-3.8147,0,0
ENSG00000156510,EC 2.7.1.1,HKDC1,-1.0377,0,1
ENSG00000156515,EC 2.7.1.1,RP79; HK1-tb; HK1-tc; HXK1; HK1-ta; hexokinase; HKI; HK1; HK; HKD; HMSNR; NEDVIBA,6.3802,1,0
ENSG00000156521,EC 3.4.21.-,TYSND1; NET41,10.0681,1,0
ENSG00000156531,-,PHF6; BFLS; BORJ; CENP-31,-8.0704,0,0
ENSG00000156535,-,r150; CD109; CPAMD7; p180,-3.9427,0,0
ENSG00000156564,-,SALM1; KIAA1246; LRFN2; FIGLER2,-4.3576,0,0
ENSG00000156574,-,NODAL; HTX5,-10.6961,0,0
ENSG00000156575,-,MBPH; PRG3; MBP2,-3.9389,0,0
ENSG00000156587,EC 2.3.2.23,RIG-B; UBE2L6; UBCH8,-7.8105,0,0
ENSG00000156599,EC 2.3.1.225,ZNF375; ZDHHC5; DHHC5,-8.2811,0,0
ENSG00000156603,-,MED19AS; LCMR1; MED19; DT2P1G7,-8.0704,0,0
ENSG00000156639,-,ZFAND3; TEX27,-10.6961,0,0
ENSG00000156642,-,GP55; NPTN; SDFR1; SDR1; np55; GP65; np65,-4.3576,0,0
ENSG00000156650,EC 2.3.1.48,MOZ2; KAT6B; ZC2HC6B; querkopf; MYST4; GTPTS; MORF; qkf,6.1957,0,0
ENSG00000156671,EC 2.7.8.-,SAMD8; HEL-177; SMSr,-8.0704,0,0
ENSG00000156675,-,NOEL1A; RCP; RAB11FIP1; rab11-FIP1,-4.079,0,0
ENSG00000156687,-,UNC5D; PRO34692; Unc5h4,-8.2811,0,0
ENSG00000156689,EC 2.3.1.13,GLYATL2; BXMAS2-10; GATF-B,6.2978,0,0
ENSG00000156697,-,Utp14; NYCO16; dJ537K23.3; UTP14A; SDCCAG16,-10.6961,0,0
ENSG00000156709,EC 1.6.99.-,COXPD6; AUNX1; DFNX5; PDCD8; SEMDHL; AIFM1; NAMSD; AIF; COWCK; CMT2D; CMTX4; NADMR,31.2095,1,0
ENSG00000156711,EC 2.7.11.24,MAPK13; p38delta; SAPK4; MAPK 13; PRKM13; MAPK-13,-1.5916,0,0
ENSG00000156735,-,BAG-4; SODD; BAG4,-10.6961,0,0
ENSG00000156738,-,MS4A1; MS4A2; LEU-16; Bp35; B1; CD20; CVID5; S7,-10.6961,0,1
ENSG00000156750,-,-,0,-1,-1
ENSG00000156755,-,-,0,-1,-1
ENSG00000156787,-,Gm85; WDR67; TBC1D31,-2.86,0,0
ENSG00000156795,EC 3.5.1.122,C8orf32; WDYHV1; NTAQ1,-10.6961,0,0
ENSG00000156802,EC 3.6.1.-,PRO2000; CT137; ANCCA; ATAD2,-3.2256,0,0
ENSG00000156804,-,MAFbx; FBXO32; Fbx32,-1.849,0,0
ENSG00000156831,EC 2.3.2.-,NSMCE2; MMS21; NSE2; C8orf36; ZMIZ7,-8.2616,0,0
ENSG00000156853,-,TIPUH1; ZNF689,-8.6672,0,0
ENSG00000156858,-,PRR14,-10.6961,0,0
ENSG00000156860,-,FBS1; FBRS; FBS,-8.0704,0,0
ENSG00000156869,EC 1.-.-.-,SDR2; FRRS1; SDFR2,-7.8105,0,0
ENSG00000156873,EC 2.7.11.19,GSD9C; PHKG2,-6.2297,0,0
ENSG00000156875,-,MFSD14A; HIAT1,4.4534,0,1
ENSG00000156876,-,SASS6; MCPH14; SAS6; SAS-6,-4.079,0,0
ENSG00000156885,-,COX6A2; MC4DN18; COX6AH; COXVIAH,18.761,1,0
ENSG00000156886,-,ITGAD; ADB2; CD11D,-10.6961,0,0
ENSG00000156920,-,RP1-299I16; GPR112; ADGRG4; PGR17,-4.2008,0,0
ENSG00000156925,-,ZNF203; HTX1; ZIC3; VACTERLX; HTX,0.9725,0,0
ENSG00000156928,-,C7orf30; mtRsfA; MALSU1,27.9861,1,0
ENSG00000156931,-,KIAA0804; VPS8,-8.2811,0,0
ENSG00000156958,EC 2.7.1.157,GK2; GALK2,18.158,0,0
ENSG00000156959,-,LHFPL4; GARLH4,-0.9827,0,1
ENSG00000156966,EC 2.4.1.-,B3GNT7; beta3GnT7,-10.6961,0,0
ENSG00000156968,-,MPV17L1; MPV17L; MLPH2; MLPH1; M-LPH,17.715,1,0
ENSG00000156970,EC 2.7.11.1,BUBR1; SSK1; BUB1beta; hBUBR1; BUB1B; Bub1A; MAD3L; MVA1,-6.2297,0,0
ENSG00000156973,-,JBTS22; PDE6D; PDED,-7.8105,0,0
ENSG00000156976,EC 3.6.4.13,EIF4A2; BM-010; EIF4F; DDX2B; eIF-4A-II; EIF4A; eIF4A-II,-3.2256,0,0
ENSG00000156983,-,BRPF1; IDDDFP; BR140,-10.6961,0,0
ENSG00000156990,EC 5.4.99.-,RPUSD3,17.8532,1,0
ENSG00000157005,-,SST; SMST; SST1,-8.0704,0,0
ENSG00000157014,EC 3.1.21.-,TATDN2,3.8516,0,0
ENSG00000157017,-,GHRL; MTLRP,-3.2513,0,0
ENSG00000157020,-,SEC13L1; npp-20; SEC13; D3S1231E; SEC13R,-6.2297,0,0
ENSG00000157021,-,-,0,-1,-1
ENSG00000157036,EC 3.1.30.-,ENGL-a; ENGL-b; ENDOGL1; ENDOGL2; EXOG; ENGL; ENGLA; ENGLB,15.269,1,0
ENSG00000157045,EC 3.5.1.121,PNAA; PNAD; NTAN1,-8.2616,0,0
ENSG00000157060,-,GE36; SHCBP1L; C1orf14,-8.2811,0,0
ENSG00000157064,EC 2.7.7.1; EC 2.7.7.18,C1orf15; PNAT2; NMNAT2,-6.2297,0,0
ENSG00000157077,-,SARA; PPP1R173; SMADIP; MADHIP; ZFYVE9; NSP,-0.9827,0,0
ENSG00000157087,EC 7.2.2.10,ATP2B2; PMCA2; PMCA2a; PMCA2i,0.8985,0,1
ENSG00000157093,-,LYC4; LYZA; LYZL4,-4.079,0,0
ENSG00000157103,-,SLC6A1; MAE; GABATHG; GABATR; GAT1,10.6859,0,1
ENSG00000157106,EC 2.7.11.1,SMG1; 61E3.4; LIP; ATX,-4.3576,0,0
ENSG00000157107,-,FCHO2,-10.6961,0,0
ENSG00000157110,-,RBPMS; HERMES,-6.2297,0,0
ENSG00000157111,-,PRP2; TMEM171,-8.0704,0,0
ENSG00000157119,-,SYRP; NEM8; SRYP; KLHL40; KBTBD5,-6.2297,0,0
ENSG00000157131,-,C8A,-10.6961,0,0
ENSG00000157150,-,TIMP4; TIMP-4,-8.2616,0,0
ENSG00000157152,-,SYNII; SYN2,-4.5604,0,0
ENSG00000157168,-,GGF; GGF2; HGL; HRGA; MSTP131; NDF; HRG; HRG1; MST131; NRG1-IT2; NRG1; ARIA; SMDF,-0.9827,0,0
ENSG00000157181,-,C1orf27; odr-4; ODR4; TTG1,-10.6961,0,0
ENSG00000157184,EC 2.3.1.21,CPT2; CPTASE; CPT1; IIAE4,32.7824,1,0
ENSG00000157191,-,NECAP2,-7.1255,0,0
ENSG00000157193,-,LRP-8; APOER2; MCI1; LRP8; HSZ75190,-7.3762,0,0
ENSG00000157211,-,CDCP2,-4.079,0,0
ENSG00000157212,-,CAGF29; CAGF28; TNRC2; PACIP1; PAXIP1; PAXIP1L; PTIP,1.3533,0,0
ENSG00000157214,EC 1.16.1.-,IPCA1; PUMPCn; STEAP2; STAMP1; STMP; PCANAP1,19.3217,0,0
ENSG00000157216,-,SSDP; CSDP; SSBP3; SSDP1,37.826,0,0
ENSG00000157219,-,HTR5A; 5-HT5A,-10.6961,0,0
ENSG00000157224,-,CLDN12; PTTG1IP2,1.1538,0,0
ENSG00000157227,EC 3.4.24.80,MT-MMP; WNCHRS; MMP14; MT-MMP 1; MMP-14; MT1-MMP; MMP-X1; MT1MMP; MTMMP1,-8.2811,0,0
ENSG00000157240,-,FZD1,-10.6961,0,1
ENSG00000157259,-,RG083M05.2; ODAG; CMD2B; GATAD1,19.4339,0,0
ENSG00000157303,-,SUSD3,-5.4491,0,0
ENSG00000157306,-,-,0,-1,-1
ENSG00000157315,-,TMED6; PRO34237; SPLL9146; p24g5,-10.6961,0,0
ENSG00000157322,-,MRLP2; MRCL1; CLEC18A; MRCL,-5.4491,0,0
ENSG00000157326,EC 1.1.1.184,SCAD-SRL; SDR25C1; DHRS4; SDR25C2; PHCR; PSCD; NRDR; CR; SDR-SRL,18.0707,1,0
ENSG00000157330,-,C1orf158,-8.0704,0,0
ENSG00000157335,-,CLEC18C; MRCL3; MRCL,-13.4554,0,0
ENSG00000157343,-,ARMC12; C6orf81,0.0417,0,0
ENSG00000157349,EC 3.6.4.13,DBP5; DDX19; DDX19B; RNAh,3.7058,0,0
ENSG00000157350,EC 2.4.99.4,ST3GALII; Gal-NAc6S; SIAT4B; ST3GAL2; ST3GalA.2,-3.4081,0,0
ENSG00000157353,EC 2.7.1.52,1110046B12Rik; FCSK; CDGF2; FUK,37.826,0,0
ENSG00000157358,-,-,0,-1,-1
ENSG00000157368,-,C16orf77; IL-34; IL34,-10.6961,0,0
ENSG00000157379,EC 1.1.-.-,DHRS1; SDR19C1,11.1569,1,0
ENSG00000157388,-,CACNL1A2; CACH3; SANDD; CACNA1D; PASNA; CCHL1A2; CACN4; Cav1.3,-8.6672,0,1
ENSG00000157399,EC 3.1.6.-,ASE; CDPX; ARSE; CDPX1; ARSL; CDPXR,-0.9827,0,0
ENSG00000157404,EC 2.7.10.1,C-Kit; PBT; MASTC; SCFR; CD117; KIT,-3.8147,0,0
ENSG00000157423,-,PPP1R31; HYDIN1; CILD5; HYDIN; HYDIN2,-3.514,0,0
ENSG00000157426,EC 6.2.1.-,AASDH; LYS2; NRPS998; ACSF4; NRPS1098,37.826,0,0
ENSG00000157429,-,KOX12; ZNF19,-4.193,0,0
ENSG00000157445,-,CACNA2D3; HSA272268,-8.2811,0,0
ENSG00000157450,EC 2.3.2.27,hRNF111; ARK; RNF111,-0.9827,0,0
ENSG00000157456,-,CCNB2; HsT17299,-10.6961,0,0
ENSG00000157470,-,FAM81A,-4.7007,0,0
ENSG00000157483,-,MYO1E; HuncM-IC; MYO1C; FSGS6,-2.3066,0,0
ENSG00000157500,-,APPL1; APPL; MODY14; DIP13alpha,-1.7857,0,0
ENSG00000157502,-,MUM1L1; PWWP3B,-10.6961,0,0
ENSG00000157510,-,AFAP1L1,-5.5448,0,0
ENSG00000157514,-,TSC-22R; DIP; TSC22D3; DSIPI; GILZ,1.3533,0,0
ENSG00000157538,-,DSCR3; VPS26C; DCRA; DSCRA,-10.0112,0,0
ENSG00000157540,EC 2.7.12.1,MRD7; MNBH; DYRK1A; DYRK; MNB; HP86; DYRK1,-3.8147,0,0
ENSG00000157542,-,GIRK2; KPLBS; KATP2; GIRK-2; KIR3.2; KATP-2; KCNJ7; hiGIRK2; KCNJ6; BIR1,-10.6961,0,0
ENSG00000157551,-,KIR4.2; IRKK; KIR1.3; KCNJ15,-5.4491,0,1
ENSG00000157554,-,erg-3; p55; ERG,-10.6961,0,0
ENSG00000157557,-,ETS2IT1; ETS2,-6.6414,0,0
ENSG00000157570,-,TSPAN18; TSPAN,-6.3154,0,1
ENSG00000157578,-,LCA5L; C21orf13,1.3533,0,0
ENSG00000157593,-,SLL; UGTrel4; SLC35B2; PAPST1,0.9725,0,1
ENSG00000157600,-,TMEM164; bB360B22.3,-8.0704,0,0
ENSG00000157601,-,MX; IFI78; lncMX1-215; MX1; IFI-78K; MxA,-4.3576,0,0
ENSG00000157613,-,CREB3L1; OI16; OASIS,-3.4081,0,0
ENSG00000157617,-,C2CD2; C21orf25; C21orf258; TMEM24L,1.3533,0,0
ENSG00000157625,-,TAB3; MAP3K7IP3; NAP1,-6.2297,0,0
ENSG00000157637,-,PP1744; SLC38A10,0.9725,0,1
ENSG00000157653,-,C9orf43,-8.0704,0,0
ENSG00000157654,-,AKAPKL; MISP2; PALM2-AKAP2; PALM2; PALM2AKAP2; AKAP-2; AKAP-KL; AKAP2; PRKA2,-6.2297,0,0
ENSG00000157657,-,FP13169; ZNF618; NEDD10,-5.6553,0,0
ENSG00000157680,EC 2.7.1.107,DGKI; DGK-IOTA,18.158,0,0
ENSG00000157693,-,C9orf91; TMEM268,-8.0704,0,0
ENSG00000157703,-,SVOPL,-3.2256,0,1
ENSG00000157734,-,SNX22,-8.2811,0,0
ENSG00000157741,-,UBN2,-8.2616,0,0
ENSG00000157764,EC 2.7.11.1,BRAF; NS7; B-raf; B-RAF1; BRAF1; RAFB1,-1.849,0,0
ENSG00000157765,-,NAPI-3B; PULAM; SLC34A2; NPTIIb; NAPI-IIb,0.9725,0,0
ENSG00000157766,-,SEDK; CSPG1; ACAN; AGCAN; AGC1; MSK16; CSPGCP; SSOAOD,37.826,0,0
ENSG00000157778,-,C7orf48; PSMG3; PAC3,0.9725,0,1
ENSG00000157782,-,HCALB_BR; CABP1; CALBRAIN,-6.2297,0,0
ENSG00000157796,-,FAP66; SRTD5; NPHP13; ORF26; ATD5; CED4; Oseg6; DYF-2; WDR19; IFT144; PWDMP,-0.8138,0,0
ENSG00000157800,-,SLC37A3; SPX3,0.9725,0,1
ENSG00000157823,-,AP3S2; AP3S3; sigma3b,-5.4491,0,1
ENSG00000157827,-,FHOD2; FMNL2,35.7616,0,0
ENSG00000157828,-,-,0,-1,-1
ENSG00000157833,-,FAM59B; GAREML; GAREM2,-0.9827,0,0
ENSG00000157837,EC 3.4.23.-,IMP2; SPPL3; MDHV1887; PSH1; PRO4332; PSL4,-1.7857,0,1
ENSG00000157851,-,CRAM; DPYSL5; CV2; CRMP5; Ulip6; CRMP-5,-8.2811,0,0
ENSG00000157856,-,CCDC164; C2orf39; CILD21; DRC1,1.3533,0,0
ENSG00000157869,-,RAB28; CORD18,3.8314,0,0
ENSG00000157870,EC 1.11.1.20,FAM213B; C1orf93; PRXL2B,0.0765,0,0
ENSG00000157873,-,CD270; HVEA; ATAR; HVEM; LIGHTR; TNFRSF14; TR2,-0.9827,0,0
ENSG00000157881,EC 3.1.3.-,PANK4,-2.4214,0,0
ENSG00000157884,-,KIP4; CIB4,-6.2297,0,1
ENSG00000157890,-,MEGF11,-6.2297,0,0
ENSG00000157895,-,C12orf43; Custos,-8.0704,0,0
ENSG00000157911,-,PBD6B; PEX10; RNF69; NALD; PBD6A,1.689,0,0
ENSG00000157916,-,RER1,-10.6961,0,0
ENSG00000157927,-,RADIL; RASIP2,-3.4081,0,0
ENSG00000157933,-,SKV; SGS; SKI,-10.0112,0,0
ENSG00000157950,-,-,0,-1,-1
ENSG00000157954,-,WIPI2; WIPI-2; ATG18B; Atg21; CGI-50; IDDSSA,-6.2297,0,0
ENSG00000157965,-,-,0,-1,-1
ENSG00000157978,-,ARH; FHCL4; FHCB2; LDLRAP1; ARH1; ARH2; FHCB1,35.7616,0,0
ENSG00000157985,-,CENTG2; GGAP1; cnt-g2; AGAP1; AGAP-1,-6.2297,0,0
ENSG00000157992,-,KCP3; KRTCAP3,-4.079,0,0
ENSG00000157999,-,ANKRD61,-0.8105,0,0
ENSG00000158006,EC 3.1.1.47,HSD-PLA2; PAFAH2,-0.3604,0,0
ENSG00000158008,EC 2.4.1.224,EXTL; EXTL1,-6.8878,0,0
ENSG00000158014,-,SLC30A2; TNZD; ZnT-2; PP12488; ZNT2,0.9725,0,1
ENSG00000158019,-,BABAM2; BRCC4; BRCC45; BRE,-6.3154,0,0
ENSG00000158022,EC 2.3.2.27,IRF; MURF1; RNF28; MURF2; SMRZ; TRIM63,-2.2607,0,0
ENSG00000158023,-,CaM-IP4; WDR66; SPGF33; CFAP251,-2.86,0,0
ENSG00000158042,-,MRPL17; LIP2; MRP-L26; RPML26; L17mt; MRP-L17; RPL17L,28.231,1,0
ENSG00000158050,EC 3.1.3.16; EC 3.1.3.48,DUSP2; PAC1; PAC-1,3.1492,0,0
ENSG00000158055,-,SOM; TFCP2L4; VWS2; GRHL3,-4.079,0,0
ENSG00000158062,-,COA-1; PP2243; UBXN11; SOC; SOCI; UBXD5,1.9593,0,0
ENSG00000158077,-,NLRP14; NALP14; NOD5; GC-LRR; CLR11.2; PAN8,-3.2513,0,0
ENSG00000158079,EC 3.1.3.-,PTP9Q22; PTPDC1,-2.86,0,0
ENSG00000158089,EC 2.4.1.41; EC 2.4.1.-,GalNac-T10; GalNac-T14; GALNT15; GALNT14,-10.6961,0,0
ENSG00000158092,-,nck-1; NCK1; NCKalpha; NCK,-6.2297,0,0
ENSG00000158104,EC 1.13.11.27,HPD; PPD; 4-HPPD; HPPDASE; GLOD3; 4HPPD,-3.8147,0,0
ENSG00000158106,-,RHPN; RHOPHILIN; RHPN1; ODF5,-1.849,0,0
ENSG00000158109,-,FAM79A; mover; TPRG1L; h-mover,-8.2811,0,0
ENSG00000158113,-,LRRC43,-6.2297,0,0
ENSG00000158122,-,AAED1; C9orf21; PRXL2C,-1.849,0,0
ENSG00000158125,EC 1.17.1.4; EC 1.17.3.2,XOR; XO; XDH; XAN1,-3.4637,0,1
ENSG00000158156,-,XRG8; XKR8; hXkr8,-7.8105,0,0
ENSG00000158158,-,CNNM4; ACDP4,-3.2256,0,0
ENSG00000158161,EC 3.1.3.48,EYA3,-8.0704,0,0
ENSG00000158163,-,DZIP1L; PKD5; DZIP2,-8.0704,0,0
ENSG00000158164,-,TMSB15; Tb15; TMSL8; TMSNB; TMSB15A; TbNB; TMSB15B,-7.2451,0,0
ENSG00000158169,-,FANCC; FACC; FA3; FAC,-10.6961,0,0
ENSG00000158186,EC 3.6.5.2,RRAS3; NS11; R-RAS3; MRAS; M-RAs,-6.2297,0,0
ENSG00000158195,-,WASF2; SCAR2; WASF4; WAVE2; IMD2; dJ393P12.2,-0.9827,0,0
ENSG00000158201,EC 3.1.1.4; EC 3.1.1.32,ABHD3; LABH3,-6.2297,0,0
ENSG00000158220,-,ESYT3; FAM62C; E-Syt3; CHR3SYT,-6.409,0,0
ENSG00000158234,-,FAIM1; FAIM,-10.6961,0,0
ENSG00000158246,EC 2.7.7.-,TENT5B; FAM46B; FAM46,-5.6553,0,0
ENSG00000158258,-,CSTN2; alcagamma; ALC-GAMMA; CDHR13; CS2; CLSTN2,37.826,0,0
ENSG00000158270,-,CLP1; SCARA4; NSR2; SRCL; COLEC12,-0.9827,0,0
ENSG00000158286,-,RNF207; C1orf188,-2.2607,0,0
ENSG00000158290,-,SFM2; MRXHF2; CUL4B; CUL-4B; MRXSC; MRXS15,-3.8147,0,0
ENSG00000158292,-,PGR1; GPR153,-4.2008,0,0
ENSG00000158296,-,ARLIAK; NADC3; SLC13A3; SDCT2,0.9725,0,1
ENSG00000158301,-,DFNX7; GASP2; GPRASP2; ARMCX5-GPRASP2; p60TRP; bHLHb9; ARMCX5-GPRASP2-BHLHB9-LINC00630,-0.9827,0,0
ENSG00000158315,EC 3.4.21.105,RRP2; RHBDL2,-6.2297,0,1
ENSG00000158321,-,AUTS2; FBRSL2; MRD26,-8.0704,0,0
ENSG00000158352,-,SHAP; shrm4; SHROOM4,-6.2297,0,0
ENSG00000158373,-,H2BC5; H2B/g; H2B/k; HIST1H2BF; H2BFB; H2BFH; HIST1H2BD; dJ221C16.6; H2B.1B; H2B/a; H2B/b; H2BFL; HIST1H2BI; HIST1H2BC; H2B/h; H2BFA; H2BFG; H2BFK; HIRIP2; H2B/l; HIST1H2BE; HIST1H2BG,35.7616,0,0
ENSG00000158402,EC 3.1.3.48,CDC25C; CDC25; PPP1R60,1.3533,1,0
ENSG00000158406,-,H4C1; H4C2; H4C4; H4-16; H4C12; H4C3; H4C13; H4FH; H4C8; HIST1H4H; H4C11; H4C14; H4C5; H4/h; H4C15; H4C6; H4C9,35.7616,0,0
ENSG00000158411,-,MITD1,-8.6672,0,0
ENSG00000158417,EC 3.6.5.3,EIF5B; IF2,2.3512,0,0
ENSG00000158423,-,2610028I09Rik; RIBC1,-8.0704,0,0
ENSG00000158427,-,TMSL8; TMSNB; TMSB15B; Tbeta15b; TMSB15A,-7.2451,0,0
ENSG00000158428,-,CATIP; C2orf62,9.7644,0,0
ENSG00000158435,-,CNOT11; C40; C2orf29,1.3533,0,0
ENSG00000158445,-,KCNB1; DEE26; DRK1; Kv2.1,-8.6672,0,0
ENSG00000158457,-,TSPAN-33; PEN; PEN.; TSPAN33,-6.0415,0,0
ENSG00000158458,-,DON1; HRG2; NTAK; NRG2,-8.2811,0,0
ENSG00000158467,EC 3.3.1.1,AHCYL2; ADOHCYASE3; IRBIT2,2.8985,0,0
ENSG00000158470,EC 2.4.1.-; EC 2.4.1.274,B4GALT5; beta4Gal-T5; beta4GalT-V; B4Gal-T5; BETA4-GALT-IV; gt-V,-6.8878,0,0
ENSG00000158473,-,R3G1; CD1D; CD1A; R3,-7.8105,0,0
ENSG00000158477,-,CD1; CD1A; T6; HTA1; R4; FCB6,-13.4554,0,0
ENSG00000158480,-,PD1; SPATA2; PPP1R145; tamo,-8.0704,0,0
